City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Big Spring,US,32.25,-101.48,98.6,20,40,4.7,scattered clouds
168,Yellowknife,CA,62.46,-114.35,60.8,72,90,11.41,shower rain
169,Geraldton,AU,-28.77,114.6,50.0,93,40,9.17,scattered clouds
170,Dingle,PH,11.0,122.67,77.88,83,98,3.74,overcast clouds
171,Velyka Mykhaylivka,UA,47.08,29.85,64.4,63,62,6.87,broken clouds
172,Buta,CD,2.79,24.73,73.35,79,84,1.36,broken clouds
173,Krylovskaya,RU,46.32,39.97,68.76,70,30,7.65,scattered clouds
174,Torbay,CA,47.67,-52.73,60.01,67,40,12.75,scattered clouds
175,Arman,RU,59.7,150.17,53.22,57,93,7.76,overcast clouds
176,Fare,PF,-16.7,-151.02,78.15,76,2,14.94,clear sky
177,Lingyuan,CN,41.24,119.4,65.53,81,20,5.91,few clouds
178,Leningradskiy,RU,69.38,178.42,38.93,91,100,4.47,overcast clouds
179,Canyon,US,34.98,-101.92,99.0,18,0,1.01,clear sky
180,Qarayeri,AZ,40.79,46.31,71.6,68,20,6.93,few clouds
181,Klaksvik,FO,62.23,-6.59,50.0,76,32,12.75,scattered clouds
182,Mapastepec,MX,15.43,-92.9,79.2,81,100,1.9,light rain
183,Luderitz,NA,-26.65,15.16,54.41,75,0,14.7,clear sky
184,Nouadhibou,MR,20.93,-17.03,80.6,78,0,11.41,clear sky
185,Imbituba,BR,-28.24,-48.67,68.0,77,0,12.75,clear sky
186,Garowe,SO,8.41,48.48,76.82,59,88,22.08,overcast clouds
187,Dwarka,IN,22.24,68.97,81.39,85,100,12.46,overcast clouds
188,Nikita,UA,44.53,34.23,64.6,61,19,5.86,few clouds
189,Krasnyy Chikoy,RU,50.36,108.75,54.41,87,75,0.43,broken clouds
190,Isangel,VU,-19.55,169.27,78.8,78,75,9.17,broken clouds
191,Ponta Do Sol,PT,32.67,-17.1,78.01,53,20,24.16,few clouds
192,Livny,RU,52.43,37.61,59.23,84,76,5.57,broken clouds
193,Hobyo,SO,5.35,48.53,76.19,80,96,26.53,overcast clouds
194,Ternate,ID,0.8,127.4,80.73,75,51,3.18,broken clouds
195,Novobirilyussy,RU,56.95,90.67,51.73,97,92,2.48,overcast clouds
196,Port Hardy,CA,50.7,-127.42,59.0,87,40,4.7,scattered clouds
197,Little Elm,US,33.16,-96.94,93.0,57,42,1.99,light rain
198,Bangaon,IN,23.07,88.82,82.4,94,40,5.82,haze
199,Santa Rosa,PH,14.31,121.11,82.99,83,80,3.36,broken clouds
200,Sokoni,TZ,-6.43,39.55,75.31,80,45,9.78,scattered clouds
201,Aklavik,CA,68.22,-135.01,42.8,70,90,3.36,overcast clouds
202,Mecca,SA,21.43,39.83,88.02,21,48,4.7,scattered clouds
203,Banepa,NP,27.63,85.52,64.67,96,99,1.05,overcast clouds
204,Sault Sainte Marie,CA,46.52,-84.33,69.8,73,75,11.41,broken clouds
205,Lebu,CL,-37.62,-73.65,49.42,88,100,10.65,light rain
206,Carutapera,BR,-1.2,-46.02,76.91,89,19,5.12,few clouds
207,Piopio,NZ,-38.47,175.02,48.99,85,3,1.99,clear sky
208,Namioka,JP,40.71,140.59,87.01,100,75,3.36,fog
209,Tiznit,MA,29.58,-9.5,90.01,20,0,2.06,clear sky
210,Tricase,IT,39.93,18.36,75.0,94,0,1.12,clear sky
211,Itiuba,BR,-10.69,-39.85,71.26,59,14,8.03,few clouds
212,Sawtell,AU,-30.38,153.1,63.0,67,0,4.7,clear sky
213,Leopold,AU,-38.18,144.47,46.4,100,90,10.29,overcast clouds
214,Sooke,CA,48.37,-123.73,68.0,82,20,9.17,few clouds
215,Nabire,ID,-3.37,135.48,77.68,84,71,2.91,broken clouds
216,Somovo,RU,51.74,39.37,62.6,59,79,4.47,broken clouds
217,Nuuk,GL,64.18,-51.72,48.2,76,75,1.12,broken clouds
218,Segovia,ES,41.17,-4.0,73.0,16,14,6.87,few clouds
219,Dubbo,AU,-32.25,148.62,46.4,93,0,1.12,clear sky
220,Constitucion,CL,-35.33,-72.42,48.4,76,7,5.21,clear sky
221,Mount Isa,AU,-20.73,139.5,64.4,20,0,8.05,clear sky
222,Jiblah,YE,13.92,44.15,65.88,63,34,1.59,scattered clouds
223,Labuhan,ID,-6.88,112.21,75.4,84,46,7.34,scattered clouds
224,Lompoc,US,34.64,-120.46,66.99,63,1,13.87,clear sky
225,Rawson,AR,-43.3,-65.1,56.34,39,0,12.35,clear sky
226,Ravar,IR,31.27,56.81,63.5,27,0,1.66,clear sky
227,Beringovskiy,RU,63.05,179.32,52.52,79,82,9.6,light rain
228,Camaqua,BR,-30.85,-51.81,64.54,87,78,3.24,broken clouds
229,Senanga,ZM,-16.12,23.27,66.36,44,0,4.14,clear sky
230,Sobolevo,RU,54.43,31.9,53.22,98,63,3.42,broken clouds
231,Kenora,CA,49.82,-94.43,75.2,33,40,5.82,scattered clouds
232,Mount Gambier,AU,-37.83,140.77,41.0,100,0,5.48,clear sky
233,Port Hedland,AU,-20.32,118.57,62.6,63,0,4.7,clear sky
234,Verkhnevilyuysk,RU,63.45,120.32,51.15,52,25,2.26,scattered clouds
235,Te Anau,NZ,-45.42,167.72,43.86,87,99,7.67,light rain
236,Havre-Saint-Pierre,CA,50.23,-63.6,60.8,51,1,12.75,clear sky
237,Bambous Virieux,MU,-20.34,57.76,71.6,73,40,2.24,shower rain
238,College,US,64.86,-147.8,63.0,55,75,3.38,broken clouds
239,Kotido,UG,2.98,34.13,71.19,63,70,2.01,broken clouds
240,Lohardaga,IN,23.43,84.68,73.4,94,75,3.36,light rain
241,Intipuca,SV,13.2,-88.05,78.8,100,40,4.7,scattered clouds
242,Lavrentiya,RU,65.58,-171.0,51.19,71,2,2.28,clear sky
243,Jaguey Grande,CU,22.53,-81.13,78.8,94,75,5.82,broken clouds
244,Khani,GE,41.96,42.96,69.8,94,75,2.24,broken clouds
245,Namatanai,PG,-3.67,152.43,82.27,75,100,4.27,moderate rain
